FIPS,FOODINSEC_10_12,FOODINSEC_13_15,VLFOODSEC_10_12,VLFOODSEC_13_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
5131,14.9,14.9,6.4,6.0,11.2,11.5
5133,14.9,14.9,6.4,6.0,11.2,11.5
5135,14.9,14.9,6.4,6.0,11.2,11.5
5137,14.9,14.9,6.4,6.0,11.2,11.5
5139,14.9,14.9,6.4,6.0,11.2,11.5
5141,14.9,14.9,6.4,6.0,11.2,11.5
5143,14.9,14.9,6.4,6.0,11.2,11.5
5145,14.9,14.9,6.4,6.0,11.2,11.5
5147,14.9,14.9,6.4,6.0,11.2,11.5
5149,14.9,14.9,6.4,6.0,11.2,11.5
6001,15.6,12.6,5.7,4.5,10.4,10.8
6003,15.6,12.6,5.7,4.5,10.4,10.8
6005,15.6,12.6,5.7,4.5,10.4,10.8
6007,15.6,12.6,5.7,4.5,10.4,10.8
6009,15.6,12.6,5.7,4.5,10.4,10.8
6011,15.6,12.6,5.7,4.5,10.4,10.8
6013,15.6,12.6,5.7,4.5,10.4,10.8
6015,15.6,12.6,5.7,4.5,10.4,10.8
6017,15.6,12.6,5.7,4.5,10.4,10.8
6019,15.6,12.6,5.7,4.5,10.4,10.8
6021,15.6,12.6,5.7,4.5,10.4,10.8
6023,15.6,12.6,5.7,4.5,10.4,10.8
6025,15.6,12.6,5.7,4.5,10.4,10.8
6027,15.6,12.6,5.7,4.5,10.4,10.8
6029,15.6,12.6,5.7,4.5,10.4,10.8
6031,15.6,12.6,5.7,4.5,10.4,10.8
6033,15.6,12.6,5.7,4.5,10.4,10.8
6035,15.6,12.6,5.7,4.5,10.4,10.8
6037,15.6,12.6,5.7,4.5,10.4,10.8
6039,15.6,12.6,5.7,4.5,10.4,10.8
6041,15.6,12.6,5.7,4.5,10.4,10.8
6043,15.6,12.6,5.7,4.5,10.4,10.8
6045,15.6,12.6,5.7,4.5,10.4,10.8
6047,15.6,12.6,5.7,4.5,10.4,10.8
6049,15.6,12.6,5.7,4.5,10.4,10.8
6051,15.6,12.6,5.7,4.5,10.4,10.8
6053,15.6,12.6,5.7,4.5,10.4,10.8
6055,15.6,12.6,5.7,4.5,10.4,10.8
6057,15.6,12.6,5.7,4.5,10.4,10.8
6059,15.6,12.6,5.7,4.5,10.4,10.8
6061,15.6,12.6,5.7,4.5,10.4,10.8
6063,15.6,12.6,5.7,4.5,10.4,10.8
6065,15.6,12.6,5.7,4.5,10.4,10.8
6067,15.6,12.6,5.7,4.5,10.4,10.8
6069,15.6,12.6,5.7,4.5,10.4,10.8
6071,15.6,12.6,5.7,4.5,10.4,10.8
6073,15.6,12.6,5.7,4.5,10.4,10.8
6075,15.6,12.6,5.7,4.5,10.4,10.8
6077,15.6,12.6,5.7,4.5,10.4,10.8
6079,15.6,12.6,5.7,4.5,10.4,10.8
6081,15.6,12.6,5.7,4.5,10.4,10.8
6083,15.6,12.6,5.7,4.5,10.4,10.8
6085,15.6,12.6,5.7,4.5,10.4,10.8
6087,15.6,12.6,5.7,4.5,10.4,10.8
6089,15.6,12.6,5.7,4.5,10.4,10.8
6091,15.6,12.6,5.7,4.5,10.4,10.8
6093,15.6,12.6,5.7,4.5,10.4,10.8
6095,15.6,12.6,5.7,4.5,10.4,10.8
6097,15.6,12.6,5.7,4.5,10.4,10.8
6099,15.6,12.6,5.7,4.5,10.4,10.8
6101,15.6,12.6,5.7,4.5,10.4,10.8
6103,15.6,12.6,5.7,4.5,10.4,10.8
6105,15.6,12.6,5.7,4.5,10.4,10.8
6107,15.6,12.6,5.7,4.5,10.4,10.8
6109,15.6,12.6,5.7,4.5,10.4,10.8
6111,15.6,12.6,5.7,4.5,10.4,10.8
6113,15.6,12.6,5.7,4.5,10.4,10.8
6115,15.6,12.6,5.7,4.5,10.4,10.8
8001,14.1,12.1,5.8,5.1,8.0,8.8
8003,14.1,12.1,5.8,5.1,8.0,8.8
8005,14.1,12.1,5.8,5.1,8.0,8.8
8007,14.1,12.1,5.8,5.1,8.0,8.8
8009,14.1,12.1,5.8,5.1,8.0,8.8
8011,14.1,12.1,5.8,5.1,8.0,8.8
8013,14.1,12.1,5.8,5.1,8.0,8.8
8014,14.1,12.1,5.8,5.1,8.0,8.8
8015,14.1,12.1,5.8,5.1,8.0,8.8
8017,14.1,12.1,5.8,5.1,8.0,8.8
8019,14.1,12.1,5.8,5.1,8.0,8.8
8021,14.1,12.1,5.8,5.1,8.0,8.8
8023,14.1,12.1,5.8,5.1,8.0,8.8
8025,14.1,12.1,5.8,5.1,8.0,8.8
8027,14.1,12.1,5.8,5.1,8.0,8.8
8029,14.1,12.1,5.8,5.1,8.0,8.8
8031,14.1,12.1,5.8,5.1,8.0,8.8
8033,14.1,12.1,5.8,5.1,8.0,8.8
8035,14.1,12.1,5.8,5.1,8.0,8.8
8037,14.1,12.1,5.8,5.1,8.0,8.8
8039,14.1,12.1,5.8,5.1,8.0,8.8
8041,14.1,12.1,5.8,5.1,8.0,8.8
8043,14.1,12.1,5.8,5.1,8.0,8.8
8045,14.1,12.1,5.8,5.1,8.0,8.8
8047,14.1,12.1,5.8,5.1,8.0,8.8
8049,14.1,12.1,5.8,5.1,8.0,8.8
8051,14.1,12.1,5.8,5.1,8.0,8.8
8053,14.1,12.1,5.8,5.1,8.0,8.8
8055,14.1,12.1,5.8,5.1,8.0,8.8
8057,14.1,12.1,5.8,5.1,8.0,8.8
8059,14.1,12.1,5.8,5.1,8.0,8.8
8061,14.1,12.1,5.8,5.1,8.0,8.8
8063,14.1,12.1,5.8,5.1,8.0,8.8
8065,14.1,12.1,5.8,5.1,8.0,8.8
8067,14.1,12.1,5.8,5.1,8.0,8.8
8069,14.1,12.1,5.8,5.1,8.0,8.8
8071,14.1,12.1,5.8,5.1,8.0,8.8
8073,14.1,12.1,5.8,5.1,8.0,8.8
8075,14.1,12.1,5.8,5.1,8.0,8.8
8077,14.1,12.1,5.8,5.1,8.0,8.8
8079,14.1,12.1,5.8,5.1,8.0,8.8
8081,14.1,12.1,5.8,5.1,8.0,8.8
8083,14.1,12.1,5.8,5.1,8.0,8.8
8085,14.1,12.1,5.8,5.1,8.0,8.8
8087,14.1,12.1,5.8,5.1,8.0,8.8
8089,14.1,12.1,5.8,5.1,8.0,8.8
8091,14.1,12.1,5.8,5.1,8.0,8.8
8093,14.1,12.1,5.8,5.1,8.0,8.8
8095,14.1,12.1,5.8,5.1,8.0,8.8
8097,14.1,12.1,5.8,5.1,8.0,8.8
8099,14.1,12.1,5.8,5.1,8.0,8.8
8101,14.1,12.1,5.8,5.1,8.0,8.8
8103,14.1,12.1,5.8,5.1,8.0,8.8
8105,14.1,12.1,5.8,5.1,8.0,8.8
8107,14.1,12.1,5.8,5.1,8.0,8.8
8109,14.1,12.1,5.8,5.1,8.0,8.8
8111,14.1,12.1,5.8,5.1,8.0,8.8
8113,14.1,12.1,5.8,5.1,8.0,8.8
8115,14.1,12.1,5.8,5.1,8.0,8.8
8117,14.1,12.1,5.8,5.1,8.0,8.8
8119,14.1,12.1,5.8,5.1,8.0,8.8
8121,14.1,12.1,5.8,5.1,8.0,8.8
8123,14.1,12.1,5.8,5.1,8.0,8.8
8125,14.1,12.1,5.8,5.1,8.0,8.8
9001,13.4,13.1,4.9,6.3,6.8,8.0
9003,13.4,13.1,4.9,6.3,6.8,8.0
9005,13.4,13.1,4.9,6.3,6.8,8.0
9007,13.4,13.1,4.9,6.3,6.8,8.0
9009,13.4,13.1,4.9,6.3,6.8,8.0
9011,13.4,13.1,4.9,6.3,6.8,8.0
9013,13.4,13.1,4.9,6.3,6.8,8.0
9015,13.4,13.1,4.9,6.3,6.8,8.0
10001,12.0,13.2,4.5,4.8,6.3,7.0
10003,12.0,13.2,4.5,4.8,6.3,7.0
10005,12.0,13.2,4.5,4.8,6.3,7.0
11001,11.6,11.9,4.9,3.2,9.0,11.2
12001,14.8,12.7,5.7,5.4,9.3,9.4
12003,14.8,12.7,5.7,5.4,9.3,9.4
12005,14.8,12.7,5.7,5.4,9.3,9.4
12007,14.8,12.7,5.7,5.4,9.3,9.4
12009,14.8,12.7,5.7,5.4,9.3,9.4
12011,14.8,12.7,5.7,5.4,9.3,9.4
12013,14.8,12.7,5.7,5.4,9.3,9.4
12015,14.8,12.7,5.7,5.4,9.3,9.4
12017,14.8,12.7,5.7,5.4,9.3,9.4
12019,14.8,12.7,5.7,5.4,9.3,9.4
12021,14.8,12.7,5.7,5.4,9.3,9.4
12023,14.8,12.7,5.7,5.4,9.3,9.4
12027,14.8,12.7,5.7,5.4,9.3,9.4
12029,14.8,12.7,5.7,5.4,9.3,9.4
12031,14.8,12.7,5.7,5.4,9.3,9.4
12033,14.8,12.7,5.7,5.4,9.3,9.4
12035,14.8,12.7,5.7,5.4,9.3,9.4
12037,14.8,12.7,5.7,5.4,9.3,9.4
12039,14.8,12.7,5.7,5.4,9.3,9.4
12041,14.8,12.7,5.7,5.4,9.3,9.4
12043,14.8,12.7,5.7,5.4,9.3,9.4
12045,14.8,12.7,5.7,5.4,9.3,9.4
12047,14.8,12.7,5.7,5.4,9.3,9.4
12049,14.8,12.7,5.7,5.4,9.3,9.4
12051,14.8,12.7,5.7,5.4,9.3,9.4
12053,14.8,12.7,5.7,5.4,9.3,9.4
12055,14.8,12.7,5.7,5.4,9.3,9.4
12057,14.8,12.7,5.7,5.4,9.3,9.4
12059,14.8,12.7,5.7,5.4,9.3,9.4
12061,14.8,12.7,5.7,5.4,9.3,9.4
12063,14.8,12.7,5.7,5.4,9.3,9.4
12065,14.8,12.7,5.7,5.4,9.3,9.4
12067,14.8,12.7,5.7,5.4,9.3,9.4
12069,14.8,12.7,5.7,5.4,9.3,9.4
12071,14.8,12.7,5.7,5.4,9.3,9.4
12073,14.8,12.7,5.7,5.4,9.3,9.4
12075,14.8,12.7,5.7,5.4,9.3,9.4
12077,14.8,12.7,5.7,5.4,9.3,9.4
12079,14.8,12.7,5.7,5.4,9.3,9.4
12081,14.8,12.7,5.7,5.4,9.3,9.4
12083,14.8,12.7,5.7,5.4,9.3,9.4
12085,14.8,12.7,5.7,5.4,9.3,9.4
12086,14.8,12.7,5.7,5.4,9.3,9.4
12087,14.8,12.7,5.7,5.4,9.3,9.4
12089,14.8,12.7,5.7,5.4,9.3,9.4
12091,14.8,12.7,5.7,5.4,9.3,9.4
12093,14.8,12.7,5.7,5.4,9.3,9.4
12095,14.8,12.7,5.7,5.4,9.3,9.4
12097,14.8,12.7,5.7,5.4,9.3,9.4
12099,14.8,12.7,5.7,5.4,9.3,9.4
12101,14.8,12.7,5.7,5.4,9.3,9.4
12103,14.8,12.7,5.7,5.4,9.3,9.4
12105,14.8,12.7,5.7,5.4,9.3,9.4
12107,14.8,12.7,5.7,5.4,9.3,9.4
12109,14.8,12.7,5.7,5.4,9.3,9.4
12111,14.8,12.7,5.7,5.4,9.3,9.4
12113,14.8,12.7,5.7,5.4,9.3,9.4
12115,14.8,12.7,5.7,5.4,9.3,9.4
12117,14.8,12.7,5.7,5.4,9.3,9.4
12119,14.8,12.7,5.7,5.4,9.3,9.4
12121,14.8,12.7,5.7,5.4,9.3,9.4
12123,14.8,12.7,5.7,5.4,9.3,9.4
12125,14.8,12.7,5.7,5.4,9.3,9.4
12127,14.8,12.7,5.7,5.4,9.3,9.4
12129,14.8,12.7,5.7,5.4,9.3,9.4
12131,14.8,12.7,5.7,5.4,9.3,9.4
12133,14.8,12.7,5.7,5.4,9.3,9.4
13001,16.9,14.9,6.5,5.6,9.2,10.5
13003,16.9,14.9,6.5,5.6,9.2,10.5
13005,16.9,14.9,6.5,5.6,9.2,10.5
13007,16.9,14.9,6.5,5.6,9.2,10.5
13009,16.9,14.9,6.5,5.6,9.2,10.5
13011,16.9,14.9,6.5,5.6,9.2,10.5
13013,16.9,14.9,6.5,5.6,9.2,10.5
13015,16.9,14.9,6.5,5.6,9.2,10.5
13017,16.9,14.9,6.5,5.6,9.2,10.5
13019,16.9,14.9,6.5,5.6,9.2,10.5
13021,16.9,14.9,6.5,5.6,9.2,10.5
13023,16.9,14.9,6.5,5.6,9.2,10.5
13025,16.9,14.9,6.5,5.6,9.2,10.5
13027,16.9,14.9,6.5,5.6,9.2,10.5
13029,16.9,14.9,6.5,5.6,9.2,10.5
13031,16.9,14.9,6.5,5.6,9.2,10.5
13033,16.9,14.9,6.5,5.6,9.2,10.5
13035,16.9,14.9,6.5,5.6,9.2,10.5
13037,16.9,14.9,6.5,5.6,9.2,10.5
13039,16.9,14.9,6.5,5.6,9.2,10.5
13043,16.9,14.9,6.5,5.6,9.2,10.5
13045,16.9,14.9,6.5,5.6,9.2,10.5
13047,16.9,14.9,6.5,5.6,9.2,10.5
13049,16.9,14.9,6.5,5.6,9.2,10.5
13051,16.9,14.9,6.5,5.6,9.2,10.5
13053,16.9,14.9,6.5,5.6,9.2,10.5
13055,16.9,14.9,6.5,5.6,9.2,10.5
13057,16.9,14.9,6.5,5.6,9.2,10.5
13059,16.9,14.9,6.5,5.6,9.2,10.5
13061,16.9,14.9,6.5,5.6,9.2,10.5
13063,16.9,14.9,6.5,5.6,9.2,10.5
13065,16.9,14.9,6.5,5.6,9.2,10.5
13067,16.9,14.9,6.5,5.6,9.2,10.5
13069,16.9,14.9,6.5,5.6,9.2,10.5
13071,16.9,14.9,6.5,5.6,9.2,10.5
13073,16.9,14.9,6.5,5.6,9.2,10.5
13075,16.9,14.9,6.5,5.6,9.2,10.5
13077,16.9,14.9,6.5,5.6,9.2,10.5
13079,16.9,14.9,6.5,5.6,9.2,10.5
13081,16.9,14.9,6.5,5.6,9.2,10.5
13083,16.9,14.9,6.5,5.6,9.2,10.5
13085,16.9,14.9,6.5,5.6,9.2,10.5
13087,16.9,14.9,6.5,5.6,9.2,10.5
13089,16.9,14.9,6.5,5.6,9.2,10.5
13091,16.9,14.9,6.5,5.6,9.2,10.5
13093,16.9,14.9,6.5,5.6,9.2,10.5
13095,16.9,14.9,6.5,5.6,9.2,10.5
13097,16.9,14.9,6.5,5.6,9.2,10.5
13099,16.9,14.9,6.5,5.6,9.2,10.5
13101,16.9,14.9,6.5,5.6,9.2,10.5
13103,16.9,14.9,6.5,5.6,9.2,10.5
13105,16.9,14.9,6.5,5.6,9.2,10.5
13107,16.9,14.9,6.5,5.6,9.2,10.5
13109,16.9,14.9,6.5,5.6,9.2,10.5
13111,16.9,14.9,6.5,5.6,9.2,10.5
13113,16.9,14.9,6.5,5.6,9.2,10.5
13115,16.9,14.9,6.5,5.6,9.2,10.5
13117,16.9,14.9,6.5,5.6,9.2,10.5
13119,16.9,14.9,6.5,5.6,9.2,10.5
13121,16.9,14.9,6.5,5.6,9.2,10.5
13123,16.9,14.9,6.5,5.6,9.2,10.5
13125,16.9,14.9,6.5,5.6,9.2,10.5
13127,16.9,14.9,6.5,5.6,9.2,10.5
13129,16.9,14.9,6.5,5.6,9.2,10.5
13131,16.9,14.9,6.5,5.6,9.2,10.5
13133,16.9,14.9,6.5,5.6,9.2,10.5
13135,16.9,14.9,6.5,5.6,9.2,10.5
13137,16.9,14.9,6.5,5.6,9.2,10.5
13139,16.9,14.9,6.5,5.6,9.2,10.5
13141,16.9,14.9,6.5,5.6,9.2,10.5
13143,16.9,14.9,6.5,5.6,9.2,10.5
13145,16.9,14.9,6.5,5.6,9.2,10.5
13147,16.9,14.9,6.5,5.6,9.2,10.5
13149,16.9,14.9,6.5,5.6,9.2,10.5
13151,16.9,14.9,6.5,5.6,9.2,10.5
13153,16.9,14.9,6.5,5.6,9.2,10.5
13155,16.9,14.9,6.5,5.6,9.2,10.5
13157,16.9,14.9,6.5,5.6,9.2,10.5
13159,16.9,14.9,6.5,5.6,9.2,10.5
13161,16.9,14.9,6.5,5.6,9.2,10.5
13163,16.9,14.9,6.5,5.6,9.2,10.5
13165,16.9,14.9,6.5,5.6,9.2,10.5
13167,16.9,14.9,6.5,5.6,9.2,10.5
13169,16.9,14.9,6.5,5.6,9.2,10.5
13171,16.9,14.9,6.5,5.6,9.2,10.5
13173,16.9,14.9,6.5,5.6,9.2,10.5
13175,16.9,14.9,6.5,5.6,9.2,10.5
13177,16.9,14.9,6.5,5.6,9.2,10.5
13179,16.9,14.9,6.5,5.6,9.2,10.5
13181,16.9,14.9,6.5,5.6,9.2,10.5
13183,16.9,14.9,6.5,5.6,9.2,10.5
13185,16.9,14.9,6.5,5.6,9.2,10.5
13187,16.9,14.9,6.5,5.6,9.2,10.5
13189,16.9,14.9,6.5,5.6,9.2,10.5
13191,16.9,14.9,6.5,5.6,9.2,10.5
13193,16.9,14.9,6.5,5.6,9.2,10.5
13195,16.9,14.9,6.5,5.6,9.2,10.5
13197,16.9,14.9,6.5,5.6,9.2,10.5
13199,16.9,14.9,6.5,5.6,9.2,10.5
13201,16.9,14.9,6.5,5.6,9.2,10.5
13205,16.9,14.9,6.5,5.6,9.2,10.5
13207,16.9,14.9,6.5,5.6,9.2,10.5
13209,16.9,14.9,6.5,5.6,9.2,10.5
13211,16.9,14.9,6.5,5.6,9.2,10.5
13213,16.9,14.9,6.5,5.6,9.2,10.5
13215,16.9,14.9,6.5,5.6,9.2,10.5
13217,16.9,14.9,6.5,5.6,9.2,10.5
13219,16.9,14.9,6.5,5.6,9.2,10.5
13221,16.9,14.9,6.5,5.6,9.2,10.5
13223,16.9,14.9,6.5,5.6,9.2,10.5
13225,16.9,14.9,6.5,5.6,9.2,10.5
13227,16.9,14.9,6.5,5.6,9.2,10.5
13229,16.9,14.9,6.5,5.6,9.2,10.5
13231,16.9,14.9,6.5,5.6,9.2,10.5
13233,16.9,14.9,6.5,5.6,9.2,10.5
13235,16.9,14.9,6.5,5.6,9.2,10.5
13237,16.9,14.9,6.5,5.6,9.2,10.5
13239,16.9,14.9,6.5,5.6,9.2,10.5
13241,16.9,14.9,6.5,5.6,9.2,10.5
13243,16.9,14.9,6.5,5.6,9.2,10.5
13245,16.9,14.9,6.5,5.6,9.2,10.5
13247,16.9,14.9,6.5,5.6,9.2,10.5
13249,16.9,14.9,6.5,5.6,9.2,10.5
13251,16.9,14.9,6.5,5.6,9.2,10.5
